metric,metric_score,direction,ntile,pct_correct,delta_pct,probability
score,11,down,1,0.125,0.312,0.039
score,11,down,2,0.125,0.312,0.039
score,5,up,2,0.16,0.24,0.038
overlays,3,up,3,0.381,0.095,0.036
weighted_score,1,up,2,0.16,0.2,0.032
weighted_score,10,down,3,0.042,0.625,0.026
score,3,up,3,0.154,0.154,0.024
overlays,8,down,1,0.154,0.154,0.024
score,14,down,2,0.077,0.308,0.024
overlays,9,down,3,0.038,0.577,0.022
score,14,down,1,0.077,0.154,0.012
weighted_score,10,down,2,0.042,0.25,0.01
overlays,9,down,2,0.038,0.231,0.009
overlays,9,down,1,0.038,0.192,0.007
weighted_score,10,down,1,0.042,0.125,0.005
score,1,up,3,0.0,1.0,0.0
weighted_score,0,up,3,0.0,0.5,0.0
score,15,up,1,1.0,0.0,0.0
score,1,down,2,1.0,0.0,0.0
score,1,up,2,0.0,0.0,0.0
score,1,up,1,0.0,0.0,0.0
score,2,down,2,1.0,0.0,0.0
score,0,up,1,0.0,0.0,0.0
score,0,up,2,0.0,0.0,0.0
score,0,up,3,0.0,1.0,0.0
score,0,down,1,1.0,0.0,0.0
score,0,down,2,1.0,0.0,0.0
score,2,up,3,0.0,0.8,0.0
weighted_score,0,up,2,0.0,0.292,0.0
score,15,down,1,0.0,0.0,0.0
score,15,down,2,0.0,0.5,0.0
score,15,down,3,0.0,0.5,0.0
score,2,up,2,0.0,0.0,0.0
score,2,up,1,0.0,0.2,0.0
overlays,0,up,1,0.0,0.192,0.0
score,1,down,1,1.0,0.0,0.0
overlays,0,up,3,0.0,0.577,0.0
weighted_score,0,up,1,0.0,0.208,0.0
overlays,0,up,2,0.0,0.231,0.0
