date,minute,open,high,low,close,volume,change,changePercent
09-09-20,10:27:30,78.135,78.135,78.135,78.135,17009,0.0,0.0
09-09-20,10:27:45,78.135,78.135,78.135,78.135,7739,0.0,0.0
09-09-20,10:28:00,78.135,78.135,78.135,78.135,18056,0.0,0.0
09-09-20,10:28:15,78.135,78.26,78.135,78.26,51590,0.125,0.16
09-09-20,10:28:30,78.26,78.31,78.26,78.31,25230,0.17499999999999716,0.224
09-09-20,10:28:45,78.28,78.33,78.265,78.33,23194,0.06999999999999318,0.089
09-09-20,10:29:00,78.33,78.355,78.33,78.33,19486,0.06499999999999773,0.083
09-09-20,10:29:15,78.355,78.38,78.355,78.38,37406,0.04999999999999716,0.064
09-09-20,10:29:30,78.385,78.385,78.385,78.385,45842,0.030000000000001137,0.038
09-09-20,10:29:45,78.385,78.385,78.385,78.385,10894,0.0,0.0
09-09-20,10:30:00,78.385,78.385,78.385,78.385,18517,0.0,0.0
09-09-20,10:30:15,78.385,78.385,78.315,78.335,25882,-0.05000000000001137,-0.064
09-09-20,10:30:30,78.335,78.385,78.285,78.29,29967,-0.024999999999991473,-0.032
09-09-20,10:30:45,78.29,78.29,78.27,78.27,19356,-0.015000000000000568,-0.019
09-09-20,10:31:00,78.27,78.355,78.27,78.355,21260,0.08500000000000796,0.109
09-09-20,10:31:15,78.355,78.36,78.33,78.33,19500,0.060000000000002274,0.077
09-09-20,10:31:30,78.36,78.36,78.33,78.33,15854,0.0,0.0
09-09-20,10:31:45,78.33,78.33,78.33,78.33,10019,0.0,0.0
09-09-20,10:32:00,78.33,78.33,78.33,78.33,38106,0.0,0.0
09-09-20,10:32:15,78.33,78.33,78.14,78.14,27620,-0.18999999999999773,-0.243
09-09-20,10:32:30,78.14,78.18,78.14,78.18,13673,0.04000000000000625,0.051
09-09-20,10:32:45,78.18,78.18,78.155,78.17,17661,0.030000000000001137,0.038
09-09-20,10:33:00,78.17,78.19,78.145,78.145,14484,-0.010000000000005116,-0.013
09-09-20,10:33:15,78.145,78.15,78.145,78.15,27840,0.005000000000009663,0.006
09-09-20,10:33:30,78.15,78.32,78.15,78.31,32884,0.16500000000000625,0.211
09-09-20,10:33:45,78.31,78.31,78.31,78.31,19073,0.1599999999999966,0.205
09-09-20,10:34:00,78.31,78.31,78.31,78.31,20075,0.0,0.0
09-09-20,10:34:15,78.31,78.35,78.26,78.35,15229,0.03999999999999204,0.051
09-09-20,10:34:30,78.35,78.45,78.35,78.45,52953,0.18999999999999773,0.243
09-09-20,10:34:45,78.45,78.45,78.405,78.405,7797,0.05500000000000682,0.07
09-09-20,10:35:00,78.405,78.41,78.405,78.41,18904,0.0049999999999954525,0.006
09-09-20,10:35:15,78.395,78.415,78.395,78.415,13530,0.010000000000005116,0.013
09-09-20,10:35:30,78.415,78.415,78.405,78.405,21214,0.010000000000005116,0.013
09-09-20,10:35:45,78.405,78.405,78.335,78.335,31940,-0.07000000000000739,-0.089
09-09-20,10:36:00,78.335,78.335,78.335,78.335,28550,0.0,0.0
09-09-20,10:36:15,78.335,78.335,78.335,78.335,21143,0.0,0.0
09-09-20,10:36:30,78.335,78.335,78.12,78.12,18280,-0.2149999999999892,-0.274
09-09-20,10:36:45,78.12,78.15,78.12,78.13,11765,0.009999999999990905,0.013
09-09-20,10:37:00,78.13,78.18,78.13,78.17,34201,0.04999999999999716,0.064
09-09-20,10:37:15,78.17,78.17,78.07,78.07,48944,-0.060000000000002274,-0.077
09-09-20,10:37:30,78.07,78.07,78.03,78.05,44279,-0.01999999999999602,-0.026
09-09-20,10:37:45,78.05,78.065,78.03,78.03,25094,0.0,0.0
09-09-20,10:38:00,78.03,78.09,78.03,78.09,39871,0.060000000000002274,0.077
09-09-20,10:38:15,78.09,78.15,78.09,78.15,32504,0.12000000000000455,0.154
09-09-20,10:38:30,78.15,78.15,78.15,78.15,9974,0.060000000000002274,0.077
09-09-20,10:38:45,78.15,78.235,78.15,78.205,50174,0.05499999999999261,0.07
09-09-20,10:39:00,78.205,78.205,78.2,78.2,19081,0.04999999999999716,0.064
09-09-20,10:39:15,78.2,78.2,78.19,78.19,14812,-0.010000000000005116,-0.013
09-09-20,10:39:30,78.19,78.19,78.175,78.175,12233,-0.015000000000000568,-0.019
09-09-20,10:39:45,78.175,78.175,78.175,78.175,17597,0.0,0.0
09-09-20,10:40:00,78.175,78.175,78.045,78.045,63812,-0.12999999999999545,-0.166
09-09-20,10:40:15,78.045,78.05,78.045,78.05,22457,0.0049999999999954525,0.006
09-09-20,10:40:30,78.05,78.05,78.05,78.05,8952,0.0049999999999954525,0.006
09-09-20,10:40:45,78.05,78.05,78.05,78.05,15647,0.0,0.0
